id,badwords
942,prostitute
943,payo
944,poorwhitetrash
945,honkey
946,farting 
947,getiton
948,bulldike
949,raping
950,arab
951,moky
952,futanari
953,nigger
954,illegal
955,hardcore
956,skinflute
957,throating
958,asspacker
959,leather straight jacket
960,raghead
961,crotch
962,goo girl
963,knobbing
964,buttman
965,glazeddonut
966,urethra play
967,africa
968,fairies
969,fuckmehard
970,shaved pussy
971,bitchin
972,fu
973,cocks
974,fucker
975,gyppie
976,kinkster
977,penthouse
978,biatch
979,wop
980,erect
981,fag
982,fuck
983,shitfull
984,vaginal
985,fraud
986,color
987,flasher
988,filipino
989,sexpot
990,sexymoma
991,boonie
992,puke
993,buttcheeks
994,cacker
995,bdsm
996,shemale
997,porchmonkey
998,violet blue
999,eatme
1000,looser
1001,virgin
1002,assbagger
1003,limy
1004,negro's
1005,lesbian
1006,hustler
1007,cunteyed
1008,tarbaby
1009,nipples
1010,dumbfuck
1011,backdoor
1012,wuzzie
1013,sadom
1014,threeway
1015,pimpjuic
1016,chinaman
1017,brown showers
1018,pubes
1019,masturbating
1020,bollocks
1021,bunga
1022,sodomize
1023,goddammit
1024,footstar
1025,goatcx
1026,chink
1027,butthead
1028,liquor
1029,spermbag
1030,jailbait
1031,beatoff
1032,incest
1033,vagina
1034,urophilia
1035,niggarded
1036,kaffer
1037,rearentry
1038,motherfucking
1039,spic
1040,areola
1041,harder
1042,greaseball
1043,loverocket
1044,asshore
1045,perv
1046,fingerfood
1047,muff
1048,shaggin
1049,commie
1050,hitler
1051,burn
1052,honky
1053,tongue
1054,fubar
1055,oral
1056,dildo
1057,abbo
1058,sniggering
1059,bomb
1060,omorashi
1061,pedophile
1062,spig
1063,freakyfucker
1064,swallower
1065,birdlock
1066,bigbutt
1067,nastyho
1068,goddamnes
1069,pooperscooper
1070,bi
1071,sucks
1072,jizz
1073,nambla
1074,puntang
1075,gay sex
1076,bootycall
1077,reject
1078,enema
1079,sob
1080,spankthemonkey
1081,buggered
1082,jewish
1083,wuss
1084,asslick
1085,bitching
1086,strip club
1087,gringo
1088,pendy
1089,tard
1090,boody
1091,chocolate rosebuds
1092,buttfuck
1093,domination
1094,faeces
1095,splittail
1096,clamdigger
1097,shitlist
1098,double dong
1099,niggor
1100,motherfucked
1101,slimeball
1102,pusy
1103,pedobear
1104,excrement
1105,goddamnit
1106,stagg
1107,hijack
1108,sexkitten
1109,hook
1110,coolie
1111,phuq
1112,servant
1113,gyppo
1114,slopehead
1115,pud
1116,fingerfuck 
1117,dumbass
1118,williewanker
1119,fisting
1120,crapper
1121,sixtyniner
1122,fetish
1123,two girls one cup
1124,threesome
1125,bitchez
1126,manhater
1127,pudd
1128,nympho
1129,mothafuckin
1130,shitted
1131,hitlerist
1132,semen
1133,pi55
1134,yaoi
1135,scissoring
1136,sodomise
1137,ky
1138,big tits
1139,muffdiver
1140,farty 
1141,nsfw images
1142,ecchi
1143,dirty sanchez
1144,mooncricket
1145,shite
1146,boom
1147,asshat
1148,fat
1149,intercourse
1150,chav
1151,intheass
1152,jacktheripper
1153,felcher
1154,spaghettibender
1155,angry
1156,gaysex 
1157,willy
1158,addict
1159,russki
1160,slimebucket
1161,bogan
1162,goodpoop
1163,fuckme 
1164,shitcan
1165,brothel
1166,rentafuck
1167,footjob
1168,sick
1169,shitoutofluck
1170,paki
1171,rump
1172,licker
1173,nigerian
1174,pindick
1175,cockrider
1176,felching
1177,geezer
1178,balllicker
1179,ponyplay
1180,fuckoff
1181,jizzum
1182,sadis
1183,hodgie
1184,fatfucker
1185,poop
1186,tits
1187,bicurious
1188,bombs
1189,hork
1190,mr hands
1191,bi curious
1192,sooty
1193,liberal
1194,prick
1195,clover clamps
1196,spunky
1197,nymphomania
1198,playgirl
1199,vietcong
1200,yellow showers
1201,xxx
1202,pecker
1203,bitchslap
1204,demon
1205,crap
1206,jihad
1207,assjockey
1208,macaca
1209,kums
1210,kinky
1211,pooper
1212,homicide
1213,fuuck
1214,poon
1215,fear
1216,shitfuck
1217,tittie
1218,wanking
1219,girl on top
1220,fistfucker 
1221,zoophilia
1222,farted 
1223,nigglings
1224,hiscock
1225,tang
1226,erotism
1227,floo
1228,honger
1229,meth
1230,beaner
1231,kummer
1232,wn
1233,geni
1234,whash
1235,fuckinnuts
1236,fuckin
1237,tainted love
1238,dyke
1239,kotex
1240,suck
1241,poverty
1242,butchdike
1243,datnigga
1244,uterus
1245,execution
1246,trots
1247,luckycammeltoe
1248,roach
1249,swallow
1250,motherfuck
1251,blow
1252,ball gravy
1253,slutwear
1254,panti
1255,kissass
1256,shawtypimp
1257,muffdive
1258,mulatto
1259,noonan
1260,wab
1261,banging
1262,tunneloflove
1263,doggystyle
1264,fuckwhore
1265,rapist
1266,homobangers
1267,porno
1268,barfface
1269,sex
1270,syphilis
1271,pearlnecklace
1272,sleezeball
1273,sextoys
1274,assman
1275,german
1276,shagging
1277,anilingus
1278,stupidfucker
1279,loadedgun
1280,beastial
1281,shithead
1282,asses
1283,pussylover
1284,niggah
1285,gotohell
1286,jigga
1287,remains
1288,frotting
1289,thirdeye
